subject,congruency,taskSequence,switchProp,incongruentProp,mean_acc
sub49,i,s,25%,75%,0.9166666666666666
sub49,i,s,75%,25%,1
sub49,i,s,75%,75%,0.5833333333333334
sub5,c,r,25%,25%,0.8333333333333334
sub5,c,r,25%,75%,0.9166666666666666
sub5,c,r,75%,25%,1
sub5,c,r,75%,75%,0.8333333333333334
sub5,c,s,25%,25%,1
sub5,c,s,25%,75%,1
sub5,c,s,75%,25%,1
sub5,c,s,75%,75%,1
sub5,i,r,25%,25%,0.6666666666666666
sub5,i,r,25%,75%,1
sub5,i,r,75%,25%,0.9166666666666666
sub5,i,r,75%,75%,1
sub5,i,s,25%,25%,0.8333333333333334
sub5,i,s,25%,75%,1
sub5,i,s,75%,25%,0.8333333333333334
sub5,i,s,75%,75%,0.9166666666666666
sub50,c,r,25%,25%,1
sub50,c,r,25%,75%,1
sub50,c,r,75%,25%,1
sub50,c,r,75%,75%,0.9166666666666666
sub50,c,s,25%,25%,1
sub50,c,s,25%,75%,0.9166666666666666
sub50,c,s,75%,25%,0.9166666666666666
sub50,c,s,75%,75%,1
sub50,i,r,25%,25%,0.5833333333333334
sub50,i,r,25%,75%,0.6666666666666666
sub50,i,r,75%,25%,0.5833333333333334
sub50,i,r,75%,75%,0.5833333333333334
sub50,i,s,25%,25%,0.75
sub50,i,s,25%,75%,0.5833333333333334
sub50,i,s,75%,25%,0.5
sub50,i,s,75%,75%,0.6666666666666666
sub51,c,r,25%,25%,1
sub51,c,r,25%,75%,0.9166666666666666
sub51,c,r,75%,25%,1
sub51,c,r,75%,75%,1
sub51,c,s,25%,25%,0.9166666666666666
sub51,c,s,25%,75%,1
sub51,c,s,75%,25%,1
sub51,c,s,75%,75%,1
sub51,i,r,25%,25%,0.9166666666666666
sub51,i,r,25%,75%,0.9166666666666666
sub51,i,r,75%,25%,1
sub51,i,r,75%,75%,0.8333333333333334
sub51,i,s,25%,25%,1
sub51,i,s,25%,75%,0.6666666666666666
sub51,i,s,75%,25%,0.75
sub51,i,s,75%,75%,0.8333333333333334
sub52,c,r,25%,25%,0.9166666666666666
sub52,c,r,25%,75%,0.75
sub52,c,r,75%,25%,0.9166666666666666
sub52,c,r,75%,75%,0.8333333333333334
sub52,c,s,25%,25%,0.9166666666666666
sub52,c,s,25%,75%,0.8333333333333334
sub52,c,s,75%,25%,0.8333333333333334
sub52,c,s,75%,75%,0.9166666666666666
sub52,i,r,25%,25%,0.9166666666666666
sub52,i,r,25%,75%,1
sub52,i,r,75%,25%,0.5
sub52,i,r,75%,75%,1
sub52,i,s,25%,25%,0.8333333333333334
sub52,i,s,25%,75%,0.8333333333333334
sub52,i,s,75%,25%,0.4166666666666667
sub52,i,s,75%,75%,0.9166666666666666
sub53,c,r,25%,25%,0.9166666666666666
sub53,c,r,25%,75%,1
sub53,c,r,75%,25%,1
sub53,c,r,75%,75%,1
sub53,c,s,25%,25%,0.9166666666666666
sub53,c,s,25%,75%,1
sub53,c,s,75%,25%,1
sub53,c,s,75%,75%,1
sub53,i,r,25%,25%,0.9166666666666666
sub53,i,r,25%,75%,0.9166666666666666
sub53,i,r,75%,25%,0.8333333333333334
sub53,i,r,75%,75%,1
sub53,i,s,25%,25%,0.75
sub53,i,s,25%,75%,0.8333333333333334
sub53,i,s,75%,25%,0.8333333333333334
sub53,i,s,75%,75%,1
sub54,c,r,25%,25%,0.9166666666666666
sub54,c,r,25%,75%,0.9166666666666666
sub54,c,r,75%,25%,0.6666666666666666
sub54,c,r,75%,75%,0.9166666666666666
sub54,c,s,25%,25%,1
sub54,c,s,25%,75%,0.75
sub54,c,s,75%,25%,0.8333333333333334
sub54,c,s,75%,75%,0.75
sub54,i,r,25%,25%,0.75
sub54,i,r,25%,75%,0.75
sub54,i,r,75%,25%,0.8333333333333334
sub54,i,r,75%,75%,0.8333333333333334
sub54,i,s,25%,25%,0.75
sub54,i,s,25%,75%,0.5833333333333334
sub54,i,s,75%,25%,0.8333333333333334
sub54,i,s,75%,75%,0.8333333333333334
sub55,c,r,25%,25%,0.9166666666666666
sub55,c,r,25%,75%,0.9166666666666666
sub55,c,r,75%,25%,1
sub55,c,r,75%,75%,1
sub55,c,s,25%,25%,1
sub55,c,s,25%,75%,1
sub55,c,s,75%,25%,0.9166666666666666
sub55,c,s,75%,75%,1
sub55,i,r,25%,25%,1
sub55,i,r,25%,75%,0.8333333333333334
sub55,i,r,75%,25%,0.75
sub55,i,r,75%,75%,0.6666666666666666
sub55,i,s,25%,25%,0.5833333333333334
sub55,i,s,25%,75%,1
sub55,i,s,75%,25%,0.75
sub55,i,s,75%,75%,1
sub56,c,r,25%,25%,0.8333333333333334
sub56,c,r,25%,75%,1
sub56,c,r,75%,25%,0.9166666666666666
sub56,c,r,75%,75%,1
sub56,c,s,25%,25%,0.9166666666666666
sub56,c,s,25%,75%,0.9166666666666666
sub56,c,s,75%,25%,0.8333333333333334
sub56,c,s,75%,75%,0.75
sub56,i,r,25%,25%,0.6666666666666666
sub56,i,r,25%,75%,0.6666666666666666
sub56,i,r,75%,25%,0.75
sub56,i,r,75%,75%,0.8333333333333334
sub56,i,s,25%,25%,0.5833333333333334
sub56,i,s,25%,75%,0.5833333333333334
sub56,i,s,75%,25%,0.6666666666666666
sub56,i,s,75%,75%,0.8333333333333334
sub57,c,r,25%,25%,0.8333333333333334
sub57,c,r,25%,75%,1
sub57,c,r,75%,25%,0.8333333333333334
sub57,c,r,75%,75%,1
sub57,c,s,25%,25%,0.75
sub57,c,s,25%,75%,1
sub57,c,s,75%,25%,1
sub57,c,s,75%,75%,1
sub57,i,r,25%,25%,0.5833333333333334
sub57,i,r,25%,75%,0.9166666666666666
sub57,i,r,75%,25%,0.8333333333333334
sub57,i,r,75%,75%,0.75
sub57,i,s,25%,25%,0.5833333333333334
sub57,i,s,25%,75%,0.8333333333333334
sub57,i,s,75%,25%,0.5833333333333334
sub57,i,s,75%,75%,0.9166666666666666
sub6,c,r,25%,25%,1
sub6,c,r,25%,75%,1
sub6,c,r,75%,25%,1
sub6,c,r,75%,75%,1
sub6,c,s,25%,25%,0.9166666666666666
sub6,c,s,25%,75%,0.9166666666666666
sub6,c,s,75%,25%,1
sub6,c,s,75%,75%,1
sub6,i,r,25%,25%,0.8333333333333334
sub6,i,r,25%,75%,0.9166666666666666
sub6,i,r,75%,25%,0.8333333333333334
sub6,i,r,75%,75%,0.9166666666666666
sub6,i,s,25%,25%,0.75
sub6,i,s,25%,75%,0.8333333333333334
sub6,i,s,75%,25%,0.9166666666666666
sub6,i,s,75%,75%,0.6666666666666666
sub7,c,r,25%,25%,0.8333333333333334
sub7,c,r,25%,75%,0.75
sub7,c,r,75%,25%,0.9166666666666666
sub7,c,r,75%,75%,0.8333333333333334
sub7,c,s,25%,25%,0.6666666666666666
sub7,c,s,25%,75%,0.9166666666666666
sub7,c,s,75%,25%,0.8333333333333334
sub7,c,s,75%,75%,0.9166666666666666
sub7,i,r,25%,25%,0.5
sub7,i,r,25%,75%,1
sub7,i,r,75%,25%,0.6666666666666666
sub7,i,r,75%,75%,1
sub7,i,s,25%,25%,0.4166666666666667
sub7,i,s,25%,75%,0.6666666666666666
sub7,i,s,75%,25%,0.5833333333333334
sub7,i,s,75%,75%,0.8333333333333334
sub8,c,r,25%,25%,1
sub8,c,r,25%,75%,0.9166666666666666
sub8,c,r,75%,25%,0.9166666666666666
sub8,c,r,75%,75%,0.9166666666666666
sub8,c,s,25%,25%,1
sub8,c,s,25%,75%,0.9166666666666666
sub8,c,s,75%,25%,0.9166666666666666
sub8,c,s,75%,75%,0.9166666666666666
sub8,i,r,25%,25%,0.9166666666666666
sub8,i,r,25%,75%,0.9166666666666666
sub8,i,r,75%,25%,0.6666666666666666
sub8,i,r,75%,75%,1
sub8,i,s,25%,25%,0.9166666666666666
sub8,i,s,25%,75%,0.9166666666666666
sub8,i,s,75%,25%,0.5
sub8,i,s,75%,75%,0.9166666666666666
sub9,c,r,25%,25%,1
sub9,c,r,25%,75%,1
sub9,c,r,75%,25%,1
sub9,c,r,75%,75%,1
sub9,c,s,25%,25%,1
sub9,c,s,25%,75%,1
sub9,c,s,75%,25%,1
sub9,c,s,75%,75%,0.8333333333333334
sub9,i,r,25%,25%,0.8333333333333334
sub9,i,r,25%,75%,0.9166666666666666
sub9,i,r,75%,25%,1
sub9,i,r,75%,75%,0.6666666666666666
sub9,i,s,25%,25%,0.8333333333333334
sub9,i,s,25%,75%,0.9166666666666666
sub9,i,s,75%,25%,0.9166666666666666
sub9,i,s,75%,75%,0.5833333333333334
