subject,congruency,taskSequence,switchProp,incongruentProp,mean_acc
sub18,i,s,75%,25%,0.9166666666666666
sub18,i,s,75%,75%,1
sub19,c,r,25%,25%,0.9166666666666666
sub19,c,r,25%,75%,1
sub19,c,r,75%,25%,1
sub19,c,r,75%,75%,1
sub19,c,s,25%,25%,0.9166666666666666
sub19,c,s,25%,75%,1
sub19,c,s,75%,25%,1
sub19,c,s,75%,75%,1
sub19,i,r,25%,25%,0.9166666666666666
sub19,i,r,25%,75%,0.9166666666666666
sub19,i,r,75%,25%,0.8333333333333334
sub19,i,r,75%,75%,0.9166666666666666
sub19,i,s,25%,25%,0.8333333333333334
sub19,i,s,25%,75%,0.8333333333333334
sub19,i,s,75%,25%,0.75
sub19,i,s,75%,75%,1
sub2,c,r,25%,25%,1
sub2,c,r,25%,75%,0.9166666666666666
sub2,c,r,75%,25%,1
sub2,c,r,75%,75%,1
sub2,c,s,25%,25%,1
sub2,c,s,25%,75%,1
sub2,c,s,75%,25%,0.9166666666666666
sub2,c,s,75%,75%,1
sub2,i,r,25%,25%,1
sub2,i,r,25%,75%,1
sub2,i,r,75%,25%,0.75
sub2,i,r,75%,75%,0.9166666666666666
sub2,i,s,25%,25%,0.75
sub2,i,s,25%,75%,1
sub2,i,s,75%,25%,0.6666666666666666
sub2,i,s,75%,75%,0.8333333333333334
sub20,c,r,25%,25%,0.8333333333333334
sub20,c,r,25%,75%,0.8333333333333334
sub20,c,r,75%,25%,0.6666666666666666
sub20,c,r,75%,75%,0.9166666666666666
sub20,c,s,25%,25%,0.6666666666666666
sub20,c,s,25%,75%,1
sub20,c,s,75%,25%,0.9166666666666666
sub20,c,s,75%,75%,0.75
sub20,i,r,25%,25%,0.75
sub20,i,r,25%,75%,0.75
sub20,i,r,75%,25%,0.4166666666666667
sub20,i,r,75%,75%,0.5833333333333334
sub20,i,s,25%,25%,0.5
sub20,i,s,25%,75%,0.8333333333333334
sub20,i,s,75%,25%,0.4166666666666667
sub20,i,s,75%,75%,0.5
sub21,c,r,25%,25%,1
sub21,c,r,25%,75%,1
sub21,c,r,75%,25%,0.9166666666666666
sub21,c,r,75%,75%,0.9166666666666666
sub21,c,s,25%,25%,1
sub21,c,s,25%,75%,0.9166666666666666
sub21,c,s,75%,25%,1
sub21,c,s,75%,75%,1
sub21,i,r,25%,25%,0.6666666666666666
sub21,i,r,25%,75%,0.8333333333333334
sub21,i,r,75%,25%,0.9166666666666666
sub21,i,r,75%,75%,1
sub21,i,s,25%,25%,0.8333333333333334
sub21,i,s,25%,75%,0.9166666666666666
sub21,i,s,75%,25%,0.5
sub21,i,s,75%,75%,1
sub22,c,r,25%,25%,1
sub22,c,r,25%,75%,0.9166666666666666
sub22,c,r,75%,25%,1
sub22,c,r,75%,75%,1
sub22,c,s,25%,25%,0.9166666666666666
sub22,c,s,25%,75%,1
sub22,c,s,75%,25%,1
sub22,c,s,75%,75%,0.9166666666666666
sub22,i,r,25%,25%,0.5
sub22,i,r,25%,75%,0.9166666666666666
sub22,i,r,75%,25%,0.6666666666666666
sub22,i,r,75%,75%,0.8333333333333334
sub22,i,s,25%,25%,0.5833333333333334
sub22,i,s,25%,75%,0.9166666666666666
sub22,i,s,75%,25%,0.75
sub22,i,s,75%,75%,0.8333333333333334
sub23,c,r,25%,25%,1
sub23,c,r,25%,75%,1
sub23,c,r,75%,25%,1
sub23,c,r,75%,75%,0.9166666666666666
sub23,c,s,25%,25%,0.9166666666666666
sub23,c,s,25%,75%,0.9166666666666666
sub23,c,s,75%,25%,1
sub23,c,s,75%,75%,1
sub23,i,r,25%,25%,0.9166666666666666
sub23,i,r,25%,75%,0.75
sub23,i,r,75%,25%,0.6666666666666666
sub23,i,r,75%,75%,0.9166666666666666
sub23,i,s,25%,25%,0.6666666666666666
sub23,i,s,25%,75%,0.8333333333333334
sub23,i,s,75%,25%,0.6666666666666666
sub23,i,s,75%,75%,0.9166666666666666
sub24,c,r,25%,25%,1
sub24,c,r,25%,75%,0.75
sub24,c,r,75%,25%,0.8333333333333334
sub24,c,r,75%,75%,0.9166666666666666
sub24,c,s,25%,25%,0.9166666666666666
sub24,c,s,25%,75%,0.9166666666666666
sub24,c,s,75%,25%,0.8333333333333334
sub24,c,s,75%,75%,0.75
sub24,i,r,25%,25%,1
sub24,i,r,25%,75%,0.5833333333333334
sub24,i,r,75%,25%,0.5833333333333334
sub24,i,r,75%,75%,0.5833333333333334
