subject,congruency,taskSequence,switchProp,incongruentProp,mean_acc
sub5,c,r,25%,75%,0.9375
sub5,c,r,75%,25%,1
sub5,c,r,75%,75%,0.9166666666666666
sub5,c,s,25%,25%,1
sub5,c,s,25%,75%,0.9583333333333334
sub5,c,s,75%,25%,0.9805825242718447
sub5,c,s,75%,75%,1
sub5,i,r,25%,25%,0.75
sub5,i,r,25%,75%,0.9805825242718447
sub5,i,r,75%,25%,0.875
sub5,i,r,75%,75%,1
sub5,i,s,25%,25%,0.6666666666666666
sub5,i,s,25%,75%,1
sub5,i,s,75%,25%,0.875
sub5,i,s,75%,75%,0.9223300970873787
sub50,c,r,25%,25%,0.9611650485436893
sub50,c,r,25%,75%,1
sub50,c,r,75%,25%,1
sub50,c,r,75%,75%,0.9583333333333334
sub50,c,s,25%,25%,1
sub50,c,s,25%,75%,0.8333333333333334
sub50,c,s,75%,25%,0.9611650485436893
sub50,c,s,75%,75%,1
sub50,i,r,25%,25%,0.5625
sub50,i,r,25%,75%,0.7669902912621359
sub50,i,r,75%,25%,0.625
sub50,i,r,75%,75%,0.5625
sub50,i,s,25%,25%,0.5416666666666666
sub50,i,s,25%,75%,0.625
sub50,i,s,75%,25%,0.5625
sub50,i,s,75%,75%,0.6310679611650486
sub51,c,r,25%,25%,0.9902912621359223
sub51,c,r,25%,75%,0.9375
sub51,c,r,75%,25%,1
sub51,c,r,75%,75%,1
sub51,c,s,25%,25%,0.9375
sub51,c,s,25%,75%,0.9166666666666666
sub51,c,s,75%,25%,0.9611650485436893
sub51,c,s,75%,75%,1
sub51,i,r,25%,25%,0.9375
sub51,i,r,25%,75%,0.9223300970873787
sub51,i,r,75%,25%,0.9166666666666666
sub51,i,r,75%,75%,0.875
sub51,i,s,25%,25%,0.875
sub51,i,s,25%,75%,0.75
sub51,i,s,75%,25%,0.8125
sub51,i,s,75%,75%,0.8446601941747572
sub52,c,r,25%,25%,0.9514563106796117
sub52,c,r,25%,75%,0.75
sub52,c,r,75%,25%,0.9375
sub52,c,r,75%,75%,0.9166666666666666
sub52,c,s,25%,25%,0.875
sub52,c,s,25%,75%,0.6666666666666666
sub52,c,s,75%,25%,0.8737864077669902
sub52,c,s,75%,75%,0.9375
sub52,i,r,25%,25%,0.875
sub52,i,r,25%,75%,0.7766990291262136
sub52,i,r,75%,25%,0.625
sub52,i,r,75%,75%,1
sub52,i,s,25%,25%,0.875
sub52,i,s,25%,75%,0.75
sub52,i,s,75%,25%,0.4375
sub52,i,s,75%,75%,0.9223300970873787
sub53,c,r,25%,25%,0.9805825242718447
sub53,c,r,25%,75%,1
sub53,c,r,75%,25%,1
sub53,c,r,75%,75%,0.9166666666666666
sub53,c,s,25%,25%,0.9375
sub53,c,s,25%,75%,1
sub53,c,s,75%,25%,0.9902912621359223
sub53,c,s,75%,75%,1
sub53,i,r,25%,25%,0.9375
sub53,i,r,25%,75%,0.9611650485436893
sub53,i,r,75%,25%,0.875
sub53,i,r,75%,75%,1
sub53,i,s,25%,25%,0.875
sub53,i,s,25%,75%,0.875
sub53,i,s,75%,25%,0.8125
sub53,i,s,75%,75%,0.9611650485436893
sub54,c,r,25%,25%,0.9611650485436893
sub54,c,r,25%,75%,0.9375
sub54,c,r,75%,25%,0.6875
sub54,c,r,75%,75%,0.875
sub54,c,s,25%,25%,1
sub54,c,s,25%,75%,0.7916666666666666
sub54,c,s,75%,25%,0.7864077669902912
sub54,c,s,75%,75%,0.75
sub54,i,r,25%,25%,0.8125
sub54,i,r,25%,75%,0.8349514563106796
sub54,i,r,75%,25%,0.9166666666666666
sub54,i,r,75%,75%,0.875
sub54,i,s,25%,25%,0.875
sub54,i,s,25%,75%,0.625
sub54,i,s,75%,25%,0.75
sub54,i,s,75%,75%,0.8252427184466019
sub55,c,r,25%,25%,0.970873786407767
sub55,c,r,25%,75%,0.9375
sub55,c,r,75%,25%,1
sub55,c,r,75%,75%,1
sub55,c,s,25%,25%,1
sub55,c,s,25%,75%,0.9166666666666666
sub55,c,s,75%,25%,0.883495145631068
sub55,c,s,75%,75%,1
sub55,i,r,25%,25%,1
sub55,i,r,25%,75%,0.8932038834951457
sub55,i,r,75%,25%,0.8333333333333334
sub55,i,r,75%,75%,0.6875
sub55,i,s,25%,25%,0.7083333333333334
sub55,i,s,25%,75%,0.9375
sub55,i,s,75%,25%,0.8125
sub55,i,s,75%,75%,0.8932038834951457
sub56,c,r,25%,25%,0.883495145631068
sub56,c,r,25%,75%,1
sub56,c,r,75%,25%,0.9375
sub56,c,r,75%,75%,0.9583333333333334
sub56,c,s,25%,25%,0.9375
sub56,c,s,25%,75%,0.875
sub56,c,s,75%,25%,0.883495145631068
sub56,c,s,75%,75%,0.8125
sub56,i,r,25%,25%,0.6875
sub56,i,r,25%,75%,0.8640776699029126
sub56,i,r,75%,25%,0.8333333333333334
sub56,i,r,75%,75%,0.875
sub56,i,s,25%,25%,0.5833333333333334
sub56,i,s,25%,75%,0.625
sub56,i,s,75%,25%,0.625
sub56,i,s,75%,75%,0.7669902912621359
sub57,c,r,25%,25%,0.8737864077669902
sub57,c,r,25%,75%,1
sub57,c,r,75%,25%,0.875
sub57,c,r,75%,75%,1
sub57,c,s,25%,25%,0.75
sub57,c,s,25%,75%,0.9583333333333334
sub57,c,s,75%,25%,0.9611650485436893
sub57,c,s,75%,75%,1
sub57,i,r,25%,25%,0.625
sub57,i,r,25%,75%,0.8932038834951457
sub57,i,r,75%,25%,0.75
sub57,i,r,75%,75%,0.75
sub57,i,s,25%,25%,0.5833333333333334
sub57,i,s,25%,75%,0.875
sub57,i,s,75%,25%,0.6875
sub57,i,s,75%,75%,0.8932038834951457
sub6,c,r,25%,25%,0.9611650485436893
sub6,c,r,25%,75%,0.9375
sub6,c,r,75%,25%,1
sub6,c,r,75%,75%,1
sub6,c,s,25%,25%,0.875
sub6,c,s,25%,75%,0.9166666666666666
sub6,c,s,75%,25%,0.9805825242718447
sub6,c,s,75%,75%,0.9375
sub6,i,r,25%,25%,0.875
sub6,i,r,25%,75%,0.9514563106796117
sub6,i,r,75%,25%,0.875
sub6,i,r,75%,75%,0.9375
sub6,i,s,25%,25%,0.7916666666666666
sub6,i,s,25%,75%,0.8125
sub6,i,s,75%,25%,0.875
sub6,i,s,75%,75%,0.7961165048543689
sub7,c,r,25%,25%,0.8640776699029126
sub7,c,r,25%,75%,0.8125
sub7,c,r,75%,25%,0.9375
sub7,c,r,75%,75%,0.9166666666666666
sub7,c,s,25%,25%,0.6875
sub7,c,s,25%,75%,0.75
sub7,c,s,75%,25%,0.8737864077669902
sub7,c,s,75%,75%,0.9375
sub7,i,r,25%,25%,0.4375
sub7,i,r,25%,75%,0.8737864077669902
sub7,i,r,75%,25%,0.75
sub7,i,r,75%,75%,0.9375
sub7,i,s,25%,25%,0.4583333333333333
sub7,i,s,25%,75%,0.625
sub7,i,s,75%,25%,0.5625
sub7,i,s,75%,75%,0.7572815533980582
sub8,c,r,25%,25%,0.9514563106796117
sub8,c,r,25%,75%,0.875
sub8,c,r,75%,25%,0.875
sub8,c,r,75%,75%,0.9166666666666666
sub8,c,s,25%,25%,0.9375
sub8,c,s,25%,75%,0.9583333333333334
sub8,c,s,75%,25%,0.883495145631068
sub8,c,s,75%,75%,0.875
sub8,i,r,25%,25%,0.9375
sub8,i,r,25%,75%,0.912621359223301
sub8,i,r,75%,25%,0.625
sub8,i,r,75%,75%,1
sub8,i,s,25%,25%,0.9583333333333334
sub8,i,s,25%,75%,0.9375
sub8,i,s,75%,25%,0.5
sub8,i,s,75%,75%,0.9320388349514563
sub9,c,r,25%,25%,0.941747572815534
sub9,c,r,25%,75%,1
sub9,c,r,75%,25%,1
sub9,c,r,75%,75%,1
sub9,c,s,25%,25%,1
sub9,c,s,25%,75%,1
sub9,c,s,75%,25%,1
sub9,c,s,75%,75%,0.875
sub9,i,r,25%,25%,0.875
sub9,i,r,25%,75%,0.9902912621359223
sub9,i,r,75%,25%,0.9583333333333334
sub9,i,r,75%,75%,0.75
sub9,i,s,25%,25%,0.875
sub9,i,s,25%,75%,0.875
sub9,i,s,75%,25%,0.9375
sub9,i,s,75%,75%,0.6310679611650486
