subject,congruency,taskSequence,switchProp,incongruentProp,mean_acc
sub19,c,r,25%,25%,0.970873786407767
sub19,c,r,25%,75%,1
sub19,c,r,75%,25%,1
sub19,c,r,75%,75%,1
sub19,c,s,25%,25%,0.9375
sub19,c,s,25%,75%,1
sub19,c,s,75%,25%,0.9805825242718447
sub19,c,s,75%,75%,1
sub19,i,r,25%,25%,0.9375
sub19,i,r,25%,75%,0.9029126213592233
sub19,i,r,75%,25%,0.875
sub19,i,r,75%,75%,0.9375
sub19,i,s,25%,25%,0.7916666666666666
sub19,i,s,25%,75%,0.875
sub19,i,s,75%,25%,0.8125
sub19,i,s,75%,75%,0.9223300970873787
sub2,c,r,25%,25%,0.9805825242718447
sub2,c,r,25%,75%,0.9375
sub2,c,r,75%,25%,1
sub2,c,r,75%,75%,1
sub2,c,s,25%,25%,1
sub2,c,s,25%,75%,1
sub2,c,s,75%,25%,0.8932038834951457
sub2,c,s,75%,75%,1
sub2,i,r,25%,25%,0.9375
sub2,i,r,25%,75%,0.9805825242718447
sub2,i,r,75%,25%,0.7916666666666666
sub2,i,r,75%,75%,0.9375
sub2,i,s,25%,25%,0.75
sub2,i,s,25%,75%,1
sub2,i,s,75%,25%,0.6875
sub2,i,s,75%,75%,0.8446601941747572
sub20,c,r,25%,25%,0.883495145631068
sub20,c,r,25%,75%,0.875
sub20,c,r,75%,25%,0.75
sub20,c,r,75%,75%,0.9583333333333334
sub20,c,s,25%,25%,0.6875
sub20,c,s,25%,75%,0.8333333333333334
sub20,c,s,75%,25%,0.9514563106796117
sub20,c,s,75%,75%,0.75
sub20,i,r,25%,25%,0.625
sub20,i,r,25%,75%,0.8155339805825242
sub20,i,r,75%,25%,0.5416666666666666
sub20,i,r,75%,75%,0.5625
sub20,i,s,25%,25%,0.5416666666666666
sub20,i,s,25%,75%,0.75
sub20,i,s,75%,25%,0.4375
sub20,i,s,75%,75%,0.5339805825242718
sub21,c,r,25%,25%,1
sub21,c,r,25%,75%,1
sub21,c,r,75%,25%,0.9375
sub21,c,r,75%,75%,0.9583333333333334
sub21,c,s,25%,25%,1
sub21,c,s,25%,75%,0.9583333333333334
sub21,c,s,75%,25%,0.9805825242718447
sub21,c,s,75%,75%,0.9375
sub21,i,r,25%,25%,0.75
sub21,i,r,25%,75%,0.9223300970873787
sub21,i,r,75%,25%,0.9166666666666666
sub21,i,r,75%,75%,1
sub21,i,s,25%,25%,0.9166666666666666
sub21,i,s,25%,75%,0.875
sub21,i,s,75%,25%,0.625
sub21,i,s,75%,75%,0.9029126213592233
sub22,c,r,25%,25%,1
sub22,c,r,25%,75%,0.9375
sub22,c,r,75%,25%,1
sub22,c,r,75%,75%,1
sub22,c,s,25%,25%,0.9375
sub22,c,s,25%,75%,1
sub22,c,s,75%,25%,1
sub22,c,s,75%,75%,0.9375
sub22,i,r,25%,25%,0.5625
sub22,i,r,25%,75%,0.941747572815534
sub22,i,r,75%,25%,0.7916666666666666
sub22,i,r,75%,75%,0.875
sub22,i,s,25%,25%,0.5833333333333334
sub22,i,s,25%,75%,0.875
sub22,i,s,75%,25%,0.625
sub22,i,s,75%,75%,0.8252427184466019
sub23,c,r,25%,25%,0.970873786407767
sub23,c,r,25%,75%,1
sub23,c,r,75%,25%,1
sub23,c,r,75%,75%,0.9583333333333334
sub23,c,s,25%,25%,0.9375
sub23,c,s,25%,75%,0.9166666666666666
sub23,c,s,75%,25%,0.970873786407767
sub23,c,s,75%,75%,1
sub23,i,r,25%,25%,0.9375
sub23,i,r,25%,75%,0.9029126213592233
sub23,i,r,75%,25%,0.75
sub23,i,r,75%,75%,0.9375
sub23,i,s,25%,25%,0.6666666666666666
sub23,i,s,25%,75%,0.875
sub23,i,s,75%,25%,0.75
sub23,i,s,75%,75%,0.883495145631068
sub24,c,r,25%,25%,0.9611650485436893
sub24,c,r,25%,75%,0.8125
sub24,c,r,75%,25%,0.8125
sub24,c,r,75%,75%,0.875
sub24,c,s,25%,25%,0.875
sub24,c,s,25%,75%,0.875
sub24,c,s,75%,25%,0.8737864077669902
sub24,c,s,75%,75%,0.8125
sub24,i,r,25%,25%,0.9375
sub24,i,r,25%,75%,0.7864077669902912
sub24,i,r,75%,25%,0.7916666666666666
sub24,i,r,75%,75%,0.625
sub24,i,s,25%,25%,0.875
sub24,i,s,25%,75%,0.9375
sub24,i,s,75%,25%,0.8125
sub24,i,s,75%,75%,0.7864077669902912
sub25,c,r,25%,25%,0.9611650485436893
sub25,c,r,25%,75%,0.9375
sub25,c,r,75%,25%,1
sub25,c,r,75%,75%,0.9583333333333334
sub25,c,s,25%,25%,0.9375
sub25,c,s,25%,75%,1
sub25,c,s,75%,25%,0.9320388349514563
sub25,c,s,75%,75%,0.875
sub25,i,r,25%,25%,0.5
sub25,i,r,25%,75%,0.8737864077669902
sub25,i,r,75%,25%,0.5416666666666666
sub25,i,r,75%,75%,0.6875
sub25,i,s,25%,25%,0.5
sub25,i,s,25%,75%,0.6875
sub25,i,s,75%,25%,0.375
sub25,i,s,75%,75%,0.6990291262135923
sub26,c,r,25%,25%,0.970873786407767
sub26,c,r,25%,75%,1
sub26,c,r,75%,25%,0.9375
sub26,c,r,75%,75%,0.9166666666666666
sub26,c,s,25%,25%,0.875
sub26,c,s,25%,75%,0.9583333333333334
sub26,c,s,75%,25%,0.9029126213592233
sub26,c,s,75%,75%,0.8125
sub26,i,r,25%,25%,0.625
sub26,i,r,25%,75%,0.8155339805825242
sub26,i,r,75%,25%,0.7083333333333334
sub26,i,r,75%,75%,0.5
sub26,i,s,25%,25%,0.625
