subject,block,blockType,trialCount,acc,RT,congruency,cuedTask,taskSequence,sequenceType,sequenceKind,sequencePosition,switchProp,incongruentProp
sub1,1,A,7,1,823,c,m,s,s,4,2,25%,75%
sub1,1,A,8,1,834,i,m,r,s,4,3,25%,75%
sub1,1,A,9,1,1059,i,m,r,s,4,4,25%,75%
sub1,1,A,16,1,1223,c,m,s,s,3,2,25%,75%
sub1,1,A,17,1,1062,i,m,r,s,3,3,25%,75%
sub1,1,A,18,0,1046,c,p,s,s,3,4,25%,75%
sub1,1,A,24,1,1106,c,p,r,s,1,2,25%,75%
sub1,1,A,25,1,1058,i,m,s,s,1,3,25%,75%
sub1,1,A,26,1,1193,c,m,r,s,1,4,25%,75%
sub1,1,A,34,1,1030,c,m,r,s,2,2,25%,75%
sub1,1,A,35,1,1204,i,p,s,s,2,3,25%,75%
sub1,1,A,36,1,1106,i,m,s,s,2,4,25%,75%
sub1,1,A,44,1,892,c,m,r,s,1,2,25%,75%
sub1,1,A,45,1,1220,i,p,s,s,1,3,25%,75%
sub1,1,A,46,1,1472,c,p,r,s,1,4,25%,75%
sub1,1,A,54,1,1124,c,p,s,s,4,2,25%,75%
sub1,1,A,55,1,998,i,p,r,s,4,3,25%,75%
sub1,1,A,56,1,1013,i,p,r,s,4,4,25%,75%
sub1,1,A,64,1,1102,c,p,r,s,1,2,25%,75%
sub1,1,A,65,1,990,i,m,s,s,1,3,25%,75%
sub1,1,A,66,1,1077,c,m,r,s,1,4,25%,75%
sub1,1,A,74,1,1094,c,p,r,s,2,2,25%,75%
sub1,1,A,75,1,1052,i,m,s,s,2,3,25%,75%
sub1,1,A,76,1,1256,i,p,s,s,2,4,25%,75%
sub1,1,A,84,1,1037,c,p,r,s,2,2,25%,75%
sub1,1,A,85,1,980,i,m,s,s,2,3,25%,75%
sub1,1,A,86,0,1121,i,p,s,s,2,4,25%,75%
sub1,1,A,94,1,940,c,m,s,s,4,2,25%,75%
sub1,1,A,95,1,1262,i,m,r,s,4,3,25%,75%
sub1,1,A,96,1,1109,i,m,r,s,4,4,25%,75%
sub1,1,A,104,1,1378,c,m,r,s,1,2,25%,75%
sub1,1,A,105,0,908,i,p,s,s,1,3,25%,75%
sub1,1,A,106,1,910,c,p,r,s,1,4,25%,75%
sub1,1,A,114,1,1067,c,p,s,s,4,2,25%,75%
sub1,1,A,115,1,1032,i,p,r,s,4,3,25%,75%
sub1,1,A,116,1,913,i,p,r,s,4,4,25%,75%
sub1,1,A,124,0,1132,c,m,s,s,3,2,25%,75%
sub1,1,A,125,1,1450,i,m,r,s,3,3,25%,75%
sub1,1,A,126,0,NA,c,p,s,s,3,4,25%,75%
sub1,1,A,134,1,990,c,m,r,s,2,2,25%,75%
sub1,1,A,135,1,1292,i,p,s,s,2,3,25%,75%
sub1,1,A,136,1,887,i,m,s,s,2,4,25%,75%
sub1,1,A,144,1,1047,c,p,s,s,3,2,25%,75%
sub1,1,A,145,1,1160,i,p,r,s,3,3,25%,75%
sub1,1,A,146,1,914,c,m,s,s,3,4,25%,75%
sub1,1,A,153,1,1201,c,p,s,s,3,2,25%,75%
sub1,1,A,154,1,1192,i,p,r,s,3,3,25%,75%
sub1,1,A,155,1,852,c,m,s,s,3,4,25%,75%
sub1,2,B,167,1,963,c,p,s,s,4,2,75%,75%
sub1,2,B,168,1,921,i,p,r,s,4,3,75%,75%
sub1,2,B,169,1,760,i,p,r,s,4,4,75%,75%
sub1,2,B,177,1,824,c,p,s,s,3,2,75%,75%
sub1,2,B,178,0,809,i,p,r,s,3,3,75%,75%
sub1,2,B,179,1,1121,c,m,s,s,3,4,75%,75%
sub1,2,B,186,0,1248,c,m,r,s,1,2,75%,75%
sub1,2,B,187,1,859,i,p,s,s,1,3,75%,75%
sub1,2,B,188,1,940,c,p,r,s,1,4,75%,75%
sub1,2,B,196,1,889,c,p,r,s,2,2,75%,75%
sub1,2,B,197,1,1159,i,m,s,s,2,3,75%,75%
sub1,2,B,198,0,905,i,p,s,s,2,4,75%,75%
sub1,2,B,206,1,1010,c,m,r,s,1,2,75%,75%
sub1,2,B,207,0,961,i,p,s,s,1,3,75%,75%
sub1,2,B,208,1,973,c,p,r,s,1,4,75%,75%
sub1,2,B,216,1,1014,c,p,s,s,4,2,75%,75%
sub1,2,B,217,1,835,i,p,r,s,4,3,75%,75%
sub1,2,B,218,1,1004,i,p,r,s,4,4,75%,75%
sub1,2,B,226,1,1011,c,m,r,s,1,2,75%,75%
sub1,2,B,227,1,964,i,p,s,s,1,3,75%,75%
sub1,2,B,228,1,1277,c,p,r,s,1,4,75%,75%
sub1,2,B,236,1,877,c,m,r,s,2,2,75%,75%
sub1,2,B,237,1,1042,i,p,s,s,2,3,75%,75%
sub1,2,B,238,1,1092,i,m,s,s,2,4,75%,75%
sub1,2,B,245,1,1050,c,m,r,s,2,2,75%,75%
sub1,2,B,246,1,1187,i,p,s,s,2,3,75%,75%
sub1,2,B,247,1,990,i,m,s,s,2,4,75%,75%
sub1,2,B,255,1,914,c,p,s,s,4,2,75%,75%
sub1,2,B,256,1,1097,i,p,r,s,4,3,75%,75%
sub1,2,B,257,1,1045,i,p,r,s,4,4,75%,75%
sub1,2,B,264,1,882,c,p,r,s,1,2,75%,75%
sub1,2,B,265,1,937,i,m,s,s,1,3,75%,75%
sub1,2,B,266,1,940,c,m,r,s,1,4,75%,75%
sub1,2,B,273,1,1219,c,m,s,s,4,2,75%,75%
sub1,2,B,274,1,967,i,m,r,s,4,3,75%,75%
sub1,2,B,275,1,874,i,m,r,s,4,4,75%,75%
sub1,2,B,283,1,1008,c,m,s,s,3,2,75%,75%
sub1,2,B,284,1,1062,i,m,r,s,3,3,75%,75%
sub1,2,B,285,1,1108,c,p,s,s,3,4,75%,75%
sub1,2,B,293,1,856,c,p,r,s,2,2,75%,75%
sub1,2,B,294,1,986,i,m,s,s,2,3,75%,75%
sub1,2,B,295,0,877,i,p,s,s,2,4,75%,75%
sub1,2,B,303,1,906,c,p,s,s,3,2,75%,75%
sub1,2,B,304,1,1214,i,p,r,s,3,3,75%,75%
sub1,2,B,305,1,1073,c,m,s,s,3,4,75%,75%
sub1,2,B,312,1,1001,c,p,s,s,3,2,75%,75%
sub1,2,B,313,1,1024,i,p,r,s,3,3,75%,75%
sub1,2,B,314,1,951,c,m,s,s,3,4,75%,75%
sub1,3,D,327,1,1039,c,p,s,s,4,2,75%,25%
sub1,3,D,328,1,1111,i,p,r,s,4,3,75%,25%
sub1,3,D,329,1,822,i,p,r,s,4,4,75%,25%
sub1,3,D,336,1,999,c,m,s,s,3,2,75%,25%
sub1,3,D,337,1,973,i,m,r,s,3,3,75%,25%
sub1,3,D,338,1,1142,c,p,s,s,3,4,75%,25%
sub1,3,D,345,1,936,c,p,r,s,1,2,75%,25%
sub1,3,D,346,1,1186,i,m,s,s,1,3,75%,25%
sub1,3,D,347,1,896,c,m,r,s,1,4,75%,25%
sub1,3,D,355,1,985,c,p,r,s,2,2,75%,25%
sub1,3,D,356,1,1350,i,m,s,s,2,3,75%,25%
sub1,3,D,357,1,1016,i,p,s,s,2,4,75%,25%
sub1,3,D,365,1,1035,c,m,r,s,1,2,75%,25%
sub1,3,D,366,1,1172,i,p,s,s,1,3,75%,25%
sub1,3,D,367,1,1025,c,p,r,s,1,4,75%,25%
sub1,3,D,375,1,1053,c,p,s,s,4,2,75%,25%
sub1,3,D,376,1,1035,i,p,r,s,4,3,75%,25%
sub1,3,D,377,1,1092,i,p,r,s,4,4,75%,25%
sub1,3,D,385,1,1125,c,p,r,s,1,2,75%,25%
sub1,3,D,386,1,1261,i,m,s,s,1,3,75%,25%
sub1,3,D,387,1,1362,c,m,r,s,1,4,75%,25%
sub1,3,D,395,1,970,c,m,r,s,2,2,75%,25%
sub1,3,D,396,1,1186,i,p,s,s,2,3,75%,25%
sub1,3,D,397,1,1012,i,m,s,s,2,4,75%,25%
sub1,3,D,405,1,1218,c,m,r,s,2,2,75%,25%
sub1,3,D,406,1,1071,i,p,s,s,2,3,75%,25%
sub1,3,D,407,1,974,i,m,s,s,2,4,75%,25%
sub1,3,D,415,1,1142,c,p,s,s,4,2,75%,25%
sub1,3,D,416,1,1008,i,p,r,s,4,3,75%,25%
sub1,3,D,417,1,1057,i,p,r,s,4,4,75%,25%
sub1,3,D,424,1,898,c,p,r,s,1,2,75%,25%
sub1,3,D,425,0,NA,i,m,s,s,1,3,75%,25%
sub1,3,D,426,1,943,c,m,r,s,1,4,75%,25%
sub1,3,D,434,1,852,c,m,s,s,4,2,75%,25%
sub1,3,D,435,1,1004,i,m,r,s,4,3,75%,25%
sub1,3,D,436,1,1058,i,m,r,s,4,4,75%,25%
sub1,3,D,444,1,1057,c,m,s,s,3,2,75%,25%
sub1,3,D,445,1,1068,i,m,r,s,3,3,75%,25%
sub1,3,D,446,1,948,c,p,s,s,3,4,75%,25%
sub1,3,D,453,1,871,c,m,r,s,2,2,75%,25%
sub1,3,D,454,0,997,i,p,s,s,2,3,75%,25%
sub1,3,D,455,1,1024,i,m,s,s,2,4,75%,25%
sub1,3,D,463,1,1089,c,m,s,s,3,2,75%,25%
sub1,3,D,464,1,1150,i,m,r,s,3,3,75%,25%
sub1,3,D,465,1,1243,c,p,s,s,3,4,75%,25%
sub1,3,D,473,1,935,c,p,s,s,3,2,75%,25%
sub1,3,D,474,1,984,i,p,r,s,3,3,75%,25%
sub1,3,D,475,1,1100,c,m,s,s,3,4,75%,25%
sub1,4,C,487,1,1145,c,p,s,s,4,2,25%,25%
sub1,4,C,488,0,1057,i,p,r,s,4,3,25%,25%
sub1,4,C,489,1,1038,i,p,r,s,4,4,25%,25%
sub1,4,C,497,1,990,c,p,s,s,3,2,25%,25%
sub1,4,C,498,0,932,i,p,r,s,3,3,25%,25%
sub1,4,C,499,1,1092,c,m,s,s,3,4,25%,25%
sub1,4,C,506,1,956,c,p,r,s,1,2,25%,25%
sub1,4,C,507,1,1085,i,m,s,s,1,3,25%,25%
sub1,4,C,508,1,929,c,m,r,s,1,4,25%,25%
sub1,4,C,516,1,913,c,m,r,s,2,2,25%,25%
sub1,4,C,517,0,1002,i,p,s,s,2,3,25%,25%
sub1,4,C,518,1,1082,i,m,s,s,2,4,25%,25%
sub1,4,C,525,1,1409,c,p,r,s,1,2,25%,25%
sub1,4,C,526,1,969,i,m,s,s,1,3,25%,25%
sub1,4,C,527,1,1012,c,m,r,s,1,4,25%,25%
sub1,4,C,535,1,893,c,m,s,s,4,2,25%,25%
sub1,4,C,536,1,978,i,m,r,s,4,3,25%,25%
sub1,4,C,537,1,935,i,m,r,s,4,4,25%,25%
sub1,4,C,545,1,1149,c,m,r,s,1,2,25%,25%
sub1,4,C,546,1,1101,i,p,s,s,1,3,25%,25%
sub1,4,C,547,1,1016,c,p,r,s,1,4,25%,25%
sub1,4,C,555,1,1126,c,m,r,s,2,2,25%,25%
sub1,4,C,556,1,1245,i,p,s,s,2,3,25%,25%
sub1,4,C,557,1,914,i,m,s,s,2,4,25%,25%
sub1,4,C,565,1,1066,c,m,r,s,2,2,25%,25%
sub1,4,C,566,0,952,i,p,s,s,2,3,25%,25%
sub1,4,C,567,1,1015,i,m,s,s,2,4,25%,25%
sub1,4,C,575,1,1147,c,p,s,s,4,2,25%,25%
sub1,4,C,576,0,968,i,p,r,s,4,3,25%,25%
sub1,4,C,577,1,1042,i,p,r,s,4,4,25%,25%
sub1,4,C,585,1,993,c,p,r,s,1,2,25%,25%
sub1,4,C,586,1,929,i,m,s,s,1,3,25%,25%
sub1,4,C,587,1,941,c,m,r,s,1,4,25%,25%
sub1,4,C,594,1,877,c,m,s,s,4,2,25%,25%
sub1,4,C,595,1,777,i,m,r,s,4,3,25%,25%
sub1,4,C,596,1,912,i,m,r,s,4,4,25%,25%
sub1,4,C,604,1,969,c,m,s,s,3,2,25%,25%
sub1,4,C,605,0,879,i,m,r,s,3,3,25%,25%
sub1,4,C,606,1,1208,c,p,s,s,3,4,25%,25%
sub1,4,C,614,1,933,c,p,r,s,2,2,25%,25%
sub1,4,C,615,1,963,i,m,s,s,2,3,25%,25%
sub1,4,C,616,1,998,i,p,s,s,2,4,25%,25%
sub1,4,C,622,1,1162,c,p,s,s,3,2,25%,25%
sub1,4,C,623,0,1000,i,p,r,s,3,3,25%,25%
sub1,4,C,624,1,1017,c,m,s,s,3,4,25%,25%
sub1,4,C,632,1,915,c,p,s,s,3,2,25%,25%
sub1,4,C,633,1,979,i,p,r,s,3,3,25%,25%
sub1,4,C,634,1,1006,c,m,s,s,3,4,25%,25%
sub2,1,C,7,1,1018,c,p,r,s,1,2,25%,25%
sub2,1,C,8,1,1334,i,m,s,s,1,3,25%,25%
sub2,1,C,9,1,1308,c,m,r,s,1,4,25%,25%
sub2,1,C,17,1,761,c,p,r,s,1,2,25%,25%
sub2,1,C,18,0,1133,i,m,s,s,1,3,25%,25%
sub2,1,C,19,1,880,c,m,r,s,1,4,25%,25%
sub2,1,C,27,1,981,c,p,r,s,1,2,25%,25%
sub2,1,C,28,0,1118,i,m,s,s,1,3,25%,25%
sub2,1,C,29,1,934,c,m,r,s,1,4,25%,25%
sub2,1,C,36,1,1135,c,m,s,s,3,2,25%,25%
sub2,1,C,37,1,977,i,m,r,s,3,3,25%,25%
sub2,1,C,38,1,1249,c,p,s,s,3,4,25%,25%
sub2,1,C,45,1,1069,c,p,s,s,4,2,25%,25%
sub2,1,C,46,1,1174,i,p,r,s,4,3,25%,25%
sub2,1,C,47,1,1075,i,p,r,s,4,4,25%,25%
sub2,1,C,54,1,1041,c,p,s,s,3,2,25%,25%
sub2,1,C,55,1,1233,i,p,r,s,3,3,25%,25%
sub2,1,C,56,1,1119,c,m,s,s,3,4,25%,25%
sub2,1,C,64,1,947,c,p,s,s,4,2,25%,25%
sub2,1,C,65,1,1061,i,p,r,s,4,3,25%,25%
sub2,1,C,66,1,1011,i,p,r,s,4,4,25%,25%
sub2,1,C,74,1,934,c,p,r,s,2,2,25%,25%
sub2,1,C,75,1,1100,i,m,s,s,2,3,25%,25%
sub2,1,C,76,1,1109,i,p,s,s,2,4,25%,25%
sub2,1,C,84,1,1125,c,p,s,s,3,2,25%,25%
sub2,1,C,85,1,764,i,p,r,s,3,3,25%,25%
sub2,1,C,86,1,989,c,m,s,s,3,4,25%,25%
sub2,1,C,94,1,986,c,p,r,s,2,2,25%,25%
sub2,1,C,95,0,923,i,m,s,s,2,3,25%,25%
sub2,1,C,96,1,1205,i,p,s,s,2,4,25%,25%
sub2,1,C,103,1,1342,c,p,s,s,4,2,25%,25%
sub2,1,C,104,1,1331,i,p,r,s,4,3,25%,25%
sub2,1,C,105,1,1154,i,p,r,s,4,4,25%,25%
sub2,1,C,113,1,869,c,p,r,s,2,2,25%,25%
sub2,1,C,114,1,1207,i,m,s,s,2,3,25%,25%
sub2,1,C,115,1,1230,i,p,s,s,2,4,25%,25%
sub2,1,C,123,1,918,c,m,r,s,2,2,25%,25%
sub2,1,C,124,1,1318,i,p,s,s,2,3,25%,25%
sub2,1,C,125,1,1222,i,m,s,s,2,4,25%,25%
sub2,1,C,133,1,852,c,p,s,s,4,2,25%,25%
sub2,1,C,134,1,1124,i,p,r,s,4,3,25%,25%
sub2,1,C,135,1,927,i,p,r,s,4,4,25%,25%
sub2,1,C,143,1,904,c,p,r,s,1,2,25%,25%
sub2,1,C,144,1,1207,i,m,s,s,1,3,25%,25%
sub2,1,C,145,1,1002,c,m,r,s,1,4,25%,25%
sub2,1,C,152,1,1169,c,p,s,s,3,2,25%,25%
sub2,1,C,153,1,1153,i,p,r,s,3,3,25%,25%
sub2,1,C,154,1,1350,c,m,s,s,3,4,25%,25%
sub2,2,D,167,1,1142,c,m,r,s,1,2,75%,25%
sub2,2,D,168,1,1099,i,p,s,s,1,3,75%,25%
sub2,2,D,169,1,953,c,p,r,s,1,4,75%,25%
sub2,2,D,176,1,897,c,p,r,s,1,2,75%,25%
sub2,2,D,177,0,1004,i,m,s,s,1,3,75%,25%
sub2,2,D,178,1,1141,c,m,r,s,1,4,75%,25%
sub2,2,D,186,1,998,c,p,r,s,1,2,75%,25%
sub2,2,D,187,0,1202,i,m,s,s,1,3,75%,25%
sub2,2,D,188,1,942,c,m,r,s,1,4,75%,25%
sub2,2,D,196,1,1291,c,m,s,s,3,2,75%,25%
sub2,2,D,197,0,1257,i,m,r,s,3,3,75%,25%
sub2,2,D,198,1,926,c,p,s,s,3,4,75%,25%
sub2,2,D,205,1,1149,c,p,s,s,4,2,75%,25%
sub2,2,D,206,1,893,i,p,r,s,4,3,75%,25%
sub2,2,D,207,0,912,i,p,r,s,4,4,75%,25%
sub2,2,D,215,1,1224,c,p,s,s,3,2,75%,25%
sub2,2,D,216,1,1047,i,p,r,s,3,3,75%,25%
sub2,2,D,217,0,1038,c,m,s,s,3,4,75%,25%
sub2,2,D,225,1,1013,c,p,s,s,4,2,75%,25%
sub2,2,D,226,1,1212,i,p,r,s,4,3,75%,25%
sub2,2,D,227,1,1381,i,p,r,s,4,4,75%,25%
sub2,2,D,235,1,933,c,p,r,s,2,2,75%,25%
sub2,2,D,236,1,1210,i,m,s,s,2,3,75%,25%
sub2,2,D,237,1,968,i,p,s,s,2,4,75%,25%
sub2,2,D,245,1,1412,c,m,s,s,3,2,75%,25%
sub2,2,D,246,1,1210,i,m,r,s,3,3,75%,25%
sub2,2,D,247,1,1143,c,p,s,s,3,4,75%,25%
sub2,2,D,255,1,1319,c,m,r,s,2,2,75%,25%
sub2,2,D,256,1,1018,i,p,s,s,2,3,75%,25%
sub2,2,D,257,1,885,i,m,s,s,2,4,75%,25%
sub2,2,D,265,1,1231,c,p,s,s,4,2,75%,25%
sub2,2,D,266,1,1069,i,p,r,s,4,3,75%,25%
sub2,2,D,267,1,1024,i,p,r,s,4,4,75%,25%
sub2,2,D,274,1,902,c,p,r,s,2,2,75%,25%
sub2,2,D,275,1,1315,i,m,s,s,2,3,75%,25%
sub2,2,D,276,1,1230,i,p,s,s,2,4,75%,25%
sub2,2,D,284,1,1034,c,p,r,s,2,2,75%,25%
sub2,2,D,285,0,1455,i,m,s,s,2,3,75%,25%
sub2,2,D,286,1,968,i,p,s,s,2,4,75%,25%
sub2,2,D,294,1,1142,c,p,s,s,4,2,75%,25%
sub2,2,D,295,1,1131,i,p,r,s,4,3,75%,25%
sub2,2,D,296,0,932,i,p,r,s,4,4,75%,25%
sub2,2,D,302,1,1196,c,m,r,s,1,2,75%,25%
sub2,2,D,303,0,1139,i,p,s,s,1,3,75%,25%
sub2,2,D,304,1,1065,c,p,r,s,1,4,75%,25%
sub2,2,D,312,1,861,c,m,s,s,3,2,75%,25%
sub2,2,D,313,1,1196,i,m,r,s,3,3,75%,25%
sub2,2,D,314,1,1086,c,p,s,s,3,4,75%,25%
sub2,3,B,327,1,901,c,p,r,s,1,2,75%,75%
sub2,3,B,328,0,861,i,m,s,s,1,3,75%,75%
sub2,3,B,329,1,852,c,m,r,s,1,4,75%,75%
sub2,3,B,337,1,1152,c,m,r,s,1,2,75%,75%
sub2,3,B,338,0,NA,i,p,s,s,1,3,75%,75%
sub2,3,B,339,1,1153,c,p,r,s,1,4,75%,75%
sub2,3,B,347,1,1170,c,p,r,s,1,2,75%,75%
sub2,3,B,348,1,1080,i,m,s,s,1,3,75%,75%
sub2,3,B,349,1,1030,c,m,r,s,1,4,75%,75%
sub2,3,B,355,1,1247,c,p,s,s,3,2,75%,75%
sub2,3,B,356,1,1070,i,p,r,s,3,3,75%,75%
sub2,3,B,357,1,920,c,m,s,s,3,4,75%,75%
sub2,3,B,365,1,1360,c,m,s,s,4,2,75%,75%
sub2,3,B,366,1,1284,i,m,r,s,4,3,75%,75%
sub2,3,B,367,1,1133,i,m,r,s,4,4,75%,75%
sub2,3,B,374,1,1152,c,m,s,s,3,2,75%,75%
sub2,3,B,375,0,1300,i,m,r,s,3,3,75%,75%
sub2,3,B,376,1,1012,c,p,s,s,3,4,75%,75%
sub2,3,B,384,1,1012,c,p,s,s,4,2,75%,75%
sub2,3,B,385,1,952,i,p,r,s,4,3,75%,75%
sub2,3,B,386,1,928,i,p,r,s,4,4,75%,75%
sub2,3,B,394,1,855,c,p,r,s,2,2,75%,75%
sub2,3,B,395,1,1093,i,m,s,s,2,3,75%,75%
sub2,3,B,396,1,1085,i,p,s,s,2,4,75%,75%
sub2,3,B,404,1,1086,c,p,s,s,3,2,75%,75%
sub2,3,B,405,1,1064,i,p,r,s,3,3,75%,75%
sub2,3,B,406,1,1242,c,m,s,s,3,4,75%,75%
sub2,3,B,414,1,1391,c,p,r,s,2,2,75%,75%
sub2,3,B,415,1,1273,i,m,s,s,2,3,75%,75%
sub2,3,B,416,1,882,i,p,s,s,2,4,75%,75%
sub2,3,B,424,1,971,c,m,s,s,4,2,75%,75%
sub2,3,B,425,1,1206,i,m,r,s,4,3,75%,75%
sub2,3,B,426,1,1323,i,m,r,s,4,4,75%,75%
sub2,3,B,434,1,1278,c,m,r,s,2,2,75%,75%
sub2,3,B,435,1,1435,i,p,s,s,2,3,75%,75%
sub2,3,B,436,1,1429,i,m,s,s,2,4,75%,75%
sub2,3,B,444,1,1642,c,p,r,s,2,2,75%,75%
sub2,3,B,445,1,1090,i,m,s,s,2,3,75%,75%
sub2,3,B,446,1,1345,i,p,s,s,2,4,75%,75%
sub2,3,B,454,1,1135,c,m,s,s,4,2,75%,75%
sub2,3,B,455,1,1187,i,m,r,s,4,3,75%,75%
sub2,3,B,456,1,1318,i,m,r,s,4,4,75%,75%
sub2,3,B,464,1,1271,c,m,r,s,1,2,75%,75%
sub2,3,B,465,1,947,i,p,s,s,1,3,75%,75%
sub2,3,B,466,1,1123,c,p,r,s,1,4,75%,75%
sub2,3,B,474,1,1140,c,m,s,s,3,2,75%,75%
sub2,3,B,475,1,1274,i,m,r,s,3,3,75%,75%
sub2,3,B,476,1,1152,c,p,s,s,3,4,75%,75%
sub2,4,A,487,1,1078,c,p,r,s,1,2,25%,75%
sub2,4,A,488,1,1129,i,m,s,s,1,3,25%,75%
sub2,4,A,489,0,1387,c,m,r,s,1,4,25%,75%
sub2,4,A,496,1,1035,c,p,r,s,1,2,25%,75%
sub2,4,A,497,1,1199,i,m,s,s,1,3,25%,75%
sub2,4,A,498,1,1216,c,m,r,s,1,4,25%,75%
sub2,4,A,506,1,1393,c,m,r,s,1,2,25%,75%
sub2,4,A,507,1,1033,i,p,s,s,1,3,25%,75%
sub2,4,A,508,1,1099,c,p,r,s,1,4,25%,75%
sub2,4,A,516,1,1153,c,p,s,s,3,2,25%,75%
sub2,4,A,517,1,1148,i,p,r,s,3,3,25%,75%
sub2,4,A,518,1,964,c,m,s,s,3,4,25%,75%
sub2,4,A,526,1,1264,c,p,s,s,4,2,25%,75%
sub2,4,A,527,1,1036,i,p,r,s,4,3,25%,75%
sub2,4,A,528,1,1050,i,p,r,s,4,4,25%,75%
sub2,4,A,536,1,948,c,p,s,s,3,2,25%,75%
sub2,4,A,537,1,1450,i,p,r,s,3,3,25%,75%
sub2,4,A,538,1,1004,c,m,s,s,3,4,25%,75%
sub2,4,A,546,1,1277,c,m,s,s,4,2,25%,75%
sub2,4,A,547,1,1186,i,m,r,s,4,3,25%,75%
sub2,4,A,548,1,900,i,m,r,s,4,4,25%,75%
sub2,4,A,556,1,945,c,p,r,s,2,2,25%,75%
sub2,4,A,557,1,1425,i,m,s,s,2,3,25%,75%
sub2,4,A,558,1,1190,i,p,s,s,2,4,25%,75%
sub2,4,A,565,1,1350,c,m,s,s,3,2,25%,75%
sub2,4,A,566,1,1150,i,m,r,s,3,3,25%,75%
sub2,4,A,567,1,1115,c,p,s,s,3,4,25%,75%
sub2,4,A,575,1,730,c,p,r,s,2,2,25%,75%
sub2,4,A,576,1,1134,i,m,s,s,2,3,25%,75%
sub2,4,A,577,1,882,i,p,s,s,2,4,25%,75%
sub2,4,A,585,1,1291,c,m,s,s,4,2,25%,75%
sub2,4,A,586,1,1481,i,m,r,s,4,3,25%,75%
sub2,4,A,587,1,1264,i,m,r,s,4,4,25%,75%
sub2,4,A,593,1,1287,c,m,r,s,2,2,25%,75%
sub2,4,A,594,1,1269,i,p,s,s,2,3,25%,75%
sub2,4,A,595,1,1288,i,m,s,s,2,4,25%,75%
sub2,4,A,603,1,1081,c,m,r,s,2,2,25%,75%
sub2,4,A,604,1,1143,i,p,s,s,2,3,25%,75%
sub2,4,A,605,1,1103,i,m,s,s,2,4,25%,75%
sub2,4,A,612,1,1058,c,p,s,s,4,2,25%,75%
sub2,4,A,613,1,1098,i,p,r,s,4,3,25%,75%
sub2,4,A,614,1,1047,i,p,r,s,4,4,25%,75%
sub2,4,A,622,1,1510,c,m,r,s,1,2,25%,75%
sub2,4,A,623,1,944,i,p,s,s,1,3,25%,75%
sub2,4,A,624,1,992,c,p,r,s,1,4,25%,75%
sub2,4,A,632,1,1415,c,m,s,s,3,2,25%,75%
sub2,4,A,633,1,1308,i,m,r,s,3,3,25%,75%
sub2,4,A,634,1,1053,c,p,s,s,3,4,25%,75%
sub3,1,C,7,1,1392,c,p,s,s,3,2,25%,25%
sub3,1,C,8,0,1184,i,p,r,s,3,3,25%,25%
sub3,1,C,9,1,885,c,m,s,s,3,4,25%,25%
sub3,1,C,15,0,NA,c,p,s,s,4,2,25%,25%
sub3,1,C,16,1,1269,i,p,r,s,4,3,25%,25%
sub3,1,C,17,0,1186,i,p,r,s,4,4,25%,25%
sub3,1,C,25,1,878,c,m,r,s,2,2,25%,25%
sub3,1,C,26,1,1015,i,p,s,s,2,3,25%,25%
sub3,1,C,27,1,1045,i,m,s,s,2,4,25%,25%
sub3,1,C,35,1,1107,c,p,r,s,1,2,25%,25%
sub3,1,C,36,1,970,i,m,s,s,1,3,25%,25%
sub3,1,C,37,1,967,c,m,r,s,1,4,25%,25%
sub3,1,C,45,1,1017,c,p,s,s,3,2,25%,25%
sub3,1,C,46,1,762,i,p,r,s,3,3,25%,25%
sub3,1,C,47,1,1029,c,m,s,s,3,4,25%,25%
sub3,1,C,55,1,1048,c,p,r,s,2,2,25%,25%
sub3,1,C,56,1,1019,i,m,s,s,2,3,25%,25%
sub3,1,C,57,1,927,i,p,s,s,2,4,25%,25%
sub3,1,C,65,1,765,c,m,r,s,1,2,25%,25%
sub3,1,C,66,1,1078,i,p,s,s,1,3,25%,25%
sub3,1,C,67,1,797,c,p,r,s,1,4,25%,25%
sub3,1,C,74,1,835,c,p,r,s,1,2,25%,25%
sub3,1,C,75,0,1003,i,m,s,s,1,3,25%,25%
sub3,1,C,76,1,1229,c,m,r,s,1,4,25%,25%
sub3,1,C,84,1,924,c,p,s,s,4,2,25%,25%
sub3,1,C,85,0,935,i,p,r,s,4,3,25%,25%
sub3,1,C,86,1,1233,i,p,r,s,4,4,25%,25%
sub3,1,C,93,1,942,c,m,r,s,1,2,25%,25%
sub3,1,C,94,1,978,i,p,s,s,1,3,25%,25%
sub3,1,C,95,1,1394,c,p,r,s,1,4,25%,25%
sub3,1,C,103,1,958,c,m,s,s,3,2,25%,25%
sub3,1,C,104,1,1114,i,m,r,s,3,3,25%,25%
sub3,1,C,105,1,1076,c,p,s,s,3,4,25%,25%
sub3,1,C,113,1,793,c,p,s,s,4,2,25%,25%
sub3,1,C,114,0,814,i,p,r,s,4,3,25%,25%
sub3,1,C,115,0,NA,i,p,r,s,4,4,25%,25%
sub3,1,C,123,1,1157,c,p,s,s,4,2,25%,25%
sub3,1,C,124,0,852,i,p,r,s,4,3,25%,25%
sub3,1,C,125,1,955,i,p,r,s,4,4,25%,25%
sub3,1,C,133,1,1259,c,p,s,s,3,2,25%,25%
sub3,1,C,134,1,1763,i,p,r,s,3,3,25%,25%
sub3,1,C,135,1,1260,c,m,s,s,3,4,25%,25%
