subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub19,d,s,25%,25%,0.8333333333333334
sub19,d,s,25%,75%,0.9166666666666666
sub19,d,s,75%,25%,0.8333333333333334
sub19,d,s,75%,75%,1
sub19,n,r,25%,25%,0.8333333333333334
sub19,n,r,25%,75%,1
sub19,n,r,75%,25%,0.9166666666666666
sub19,n,r,75%,75%,0.75
sub19,n,s,25%,25%,1
sub19,n,s,25%,75%,0.9166666666666666
sub19,n,s,75%,25%,0.8333333333333334
sub19,n,s,75%,75%,0.9166666666666666
sub2,d,r,25%,25%,0.9166666666666666
sub2,d,r,25%,75%,0.9166666666666666
sub2,d,r,75%,25%,1
sub2,d,r,75%,75%,0.9166666666666666
sub2,d,s,25%,25%,0.8333333333333334
sub2,d,s,25%,75%,1
sub2,d,s,75%,25%,1
sub2,d,s,75%,75%,1
sub2,n,r,25%,25%,0.9166666666666666
sub2,n,r,25%,75%,1
sub2,n,r,75%,25%,0.9166666666666666
sub2,n,r,75%,75%,0.8333333333333334
sub2,n,s,25%,25%,1
sub2,n,s,25%,75%,0.8333333333333334
sub2,n,s,75%,25%,1
sub2,n,s,75%,75%,0.8333333333333334
sub20,d,r,25%,25%,0.9166666666666666
sub20,d,r,25%,75%,0.75
sub20,d,r,75%,25%,1
sub20,d,r,75%,75%,0.9166666666666666
sub20,d,s,25%,25%,0.9166666666666666
sub20,d,s,25%,75%,0.75
sub20,d,s,75%,25%,1
sub20,d,s,75%,75%,0.9166666666666666
sub20,n,r,25%,25%,0.75
sub20,n,r,25%,75%,0.75
sub20,n,r,75%,25%,1
sub20,n,r,75%,75%,0.9166666666666666
sub20,n,s,25%,25%,0.9166666666666666
sub20,n,s,25%,75%,0.6666666666666666
sub20,n,s,75%,25%,0.75
sub20,n,s,75%,75%,0.8333333333333334
sub21,d,r,25%,25%,0.9166666666666666
sub21,d,r,25%,75%,1
sub21,d,r,75%,25%,1
sub21,d,r,75%,75%,1
sub21,d,s,25%,25%,1
sub21,d,s,25%,75%,1
sub21,d,s,75%,25%,1
sub21,d,s,75%,75%,1
sub21,n,r,25%,25%,1
sub21,n,r,25%,75%,1
sub21,n,r,75%,25%,1
sub21,n,r,75%,75%,0.9166666666666666
sub21,n,s,25%,25%,1
