subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub5,d,r,25%,75%,0.9902912621359223
sub5,d,r,75%,25%,0.9166666666666666
sub5,d,r,75%,75%,1
sub5,d,s,25%,25%,0.8333333333333334
sub5,d,s,25%,75%,1
sub5,d,s,75%,25%,1
sub5,d,s,75%,75%,0.9902912621359223
sub5,n,r,25%,25%,0.9902912621359223
sub5,n,r,25%,75%,1
sub5,n,r,75%,25%,0.9375
sub5,n,r,75%,75%,1
sub5,n,s,25%,25%,0.9375
sub5,n,s,25%,75%,1
sub5,n,s,75%,25%,0.9902912621359223
sub5,n,s,75%,75%,1
sub50,d,r,25%,25%,0.8125
sub50,d,r,25%,75%,0.9611650485436893
sub50,d,r,75%,25%,0.8333333333333334
sub50,d,r,75%,75%,0.8125
sub50,d,s,25%,25%,0.8333333333333334
sub50,d,s,25%,75%,0.75
sub50,d,s,75%,25%,0.75
sub50,d,s,75%,75%,0.8349514563106796
sub50,n,r,25%,25%,0.9611650485436893
sub50,n,r,25%,75%,1
sub50,n,r,75%,25%,0.875
sub50,n,r,75%,75%,0.8333333333333334
sub50,n,s,25%,25%,0.875
sub50,n,s,25%,75%,0.9583333333333334
sub50,n,s,75%,25%,0.883495145631068
sub50,n,s,75%,75%,0.75
sub51,d,r,25%,25%,0.625
sub51,d,r,25%,75%,0.9029126213592233
sub51,d,r,75%,25%,0.9583333333333334
sub51,d,r,75%,75%,0.9375
sub51,d,s,25%,25%,0.5833333333333334
sub51,d,s,25%,75%,0.8125
sub51,d,s,75%,25%,0.875
sub51,d,s,75%,75%,0.8446601941747572
sub51,n,r,25%,25%,0.9223300970873787
sub51,n,r,25%,75%,0.9375
sub51,n,r,75%,25%,0.9375
sub51,n,r,75%,75%,0.875
sub51,n,s,25%,25%,0.875
sub51,n,s,25%,75%,0.875
sub51,n,s,75%,25%,0.9029126213592233
sub51,n,s,75%,75%,0.9375
sub52,d,r,25%,25%,1
sub52,d,r,25%,75%,0.9805825242718447
sub52,d,r,75%,25%,1
sub52,d,r,75%,75%,1
sub52,d,s,25%,25%,0.9583333333333334
sub52,d,s,25%,75%,1
sub52,d,s,75%,25%,1
sub52,d,s,75%,75%,0.9805825242718447
sub52,n,r,25%,25%,0.9805825242718447
sub52,n,r,25%,75%,0.875
sub52,n,r,75%,25%,0.9375
sub52,n,r,75%,75%,1
sub52,n,s,25%,25%,0.875
sub52,n,s,25%,75%,0.9583333333333334
sub52,n,s,75%,25%,0.941747572815534
sub52,n,s,75%,75%,1
sub53,d,r,25%,25%,0.8125
sub53,d,r,25%,75%,0.9223300970873787
sub53,d,r,75%,25%,0.875
sub53,d,r,75%,75%,0.625
sub53,d,s,25%,25%,0.75
sub53,d,s,25%,75%,0.875
sub53,d,s,75%,25%,0.8125
sub53,d,s,75%,75%,0.883495145631068
sub53,n,r,25%,25%,0.8737864077669902
sub53,n,r,25%,75%,1
sub53,n,r,75%,25%,1
sub53,n,r,75%,75%,1
sub53,n,s,25%,25%,0.75
sub53,n,s,25%,75%,0.9166666666666666
sub53,n,s,75%,25%,0.9029126213592233
sub53,n,s,75%,75%,0.9375
sub54,d,r,25%,25%,0.8125
sub54,d,r,25%,75%,0.970873786407767
sub54,d,r,75%,25%,0.625
sub54,d,r,75%,75%,0.875
sub54,d,s,25%,25%,0.4166666666666667
sub54,d,s,25%,75%,0.875
sub54,d,s,75%,25%,0.6875
sub54,d,s,75%,75%,0.9223300970873787
sub54,n,r,25%,25%,0.49514563106796117
sub54,n,r,25%,75%,0.875
sub54,n,r,75%,25%,0.5625
sub54,n,r,75%,75%,0.875
sub54,n,s,25%,25%,0.4375
sub54,n,s,25%,75%,0.9583333333333334
sub54,n,s,75%,25%,0.6699029126213593
sub54,n,s,75%,75%,0.9375
sub55,d,r,25%,25%,0.9375
sub55,d,r,25%,75%,0.9805825242718447
sub55,d,r,75%,25%,1
sub55,d,r,75%,75%,1
sub55,d,s,25%,25%,1
sub55,d,s,25%,75%,1
sub55,d,s,75%,25%,1
sub55,d,s,75%,75%,0.9514563106796117
sub55,n,r,25%,25%,0.970873786407767
sub55,n,r,25%,75%,0.875
sub55,n,r,75%,25%,0.9375
sub55,n,r,75%,75%,1
sub55,n,s,25%,25%,1
sub55,n,s,25%,75%,0.9166666666666666
sub55,n,s,75%,25%,0.941747572815534
sub55,n,s,75%,75%,0.9375
sub56,d,r,25%,25%,1
sub56,d,r,25%,75%,0.9223300970873787
sub56,d,r,75%,25%,0.7916666666666666
sub56,d,r,75%,75%,1
sub56,d,s,25%,25%,0.8333333333333334
sub56,d,s,25%,75%,0.875
sub56,d,s,75%,25%,0.875
sub56,d,s,75%,75%,0.9223300970873787
sub56,n,r,25%,25%,0.9029126213592233
sub56,n,r,25%,75%,1
sub56,n,r,75%,25%,1
sub56,n,r,75%,75%,0.9166666666666666
sub56,n,s,25%,25%,0.9375
sub56,n,s,25%,75%,0.875
sub56,n,s,75%,25%,0.9514563106796117
sub56,n,s,75%,75%,0.875
sub57,d,r,25%,25%,0.9375
sub57,d,r,25%,75%,0.9902912621359223
sub57,d,r,75%,25%,1
sub57,d,r,75%,75%,0.9375
sub57,d,s,25%,25%,1
sub57,d,s,25%,75%,0.9375
sub57,d,s,75%,25%,1
sub57,d,s,75%,75%,0.941747572815534
sub57,n,r,25%,25%,1
sub57,n,r,25%,75%,1
sub57,n,r,75%,25%,0.9375
sub57,n,r,75%,75%,1
sub57,n,s,25%,25%,0.9375
sub57,n,s,25%,75%,0.9166666666666666
sub57,n,s,75%,25%,0.970873786407767
sub57,n,s,75%,75%,0.875
sub58,d,r,25%,25%,0.875
sub58,d,r,25%,75%,0.9514563106796117
sub58,d,r,75%,25%,1
sub58,d,r,75%,75%,1
sub58,d,s,25%,25%,0.8333333333333334
sub58,d,s,25%,75%,0.75
sub58,d,s,75%,25%,0.875
sub58,d,s,75%,75%,0.8737864077669902
sub58,n,r,25%,25%,0.9320388349514563
sub58,n,r,25%,75%,0.875
sub58,n,r,75%,25%,0.9375
sub58,n,r,75%,75%,0.875
sub58,n,s,25%,25%,0.9375
sub58,n,s,25%,75%,0.9166666666666666
sub58,n,s,75%,25%,0.9029126213592233
sub58,n,s,75%,75%,1
sub59,d,r,25%,25%,0.9375
sub59,d,r,25%,75%,0.9805825242718447
sub59,d,r,75%,25%,0.9583333333333334
sub59,d,r,75%,75%,1
sub59,d,s,25%,25%,0.9583333333333334
sub59,d,s,25%,75%,1
sub59,d,s,75%,25%,0.9375
sub59,d,s,75%,75%,0.9514563106796117
sub59,n,r,25%,25%,0.9514563106796117
sub59,n,r,25%,75%,0.875
sub59,n,r,75%,25%,0.875
sub59,n,r,75%,75%,0.9583333333333334
sub59,n,s,25%,25%,0.9375
sub59,n,s,25%,75%,0.9166666666666666
sub59,n,s,75%,25%,0.9611650485436893
sub59,n,s,75%,75%,0.9375
sub6,d,r,25%,25%,1
sub6,d,r,25%,75%,0.912621359223301
sub6,d,r,75%,25%,1
sub6,d,r,75%,75%,0.875
sub6,d,s,25%,25%,0.9583333333333334
sub6,d,s,25%,75%,0.75
sub6,d,s,75%,25%,1
sub6,d,s,75%,75%,0.9514563106796117
sub6,n,r,25%,25%,0.9805825242718447
sub6,n,r,25%,75%,0.9375
sub6,n,r,75%,25%,0.9375
sub6,n,r,75%,75%,0.875
sub6,n,s,25%,25%,1
sub6,n,s,25%,75%,0.875
sub6,n,s,75%,25%,0.970873786407767
sub6,n,s,75%,75%,0.9375
sub60,d,r,25%,25%,0.9375
sub60,d,r,25%,75%,0.8737864077669902
sub60,d,r,75%,25%,0.8333333333333334
sub60,d,r,75%,75%,1
sub60,d,s,25%,25%,0.9166666666666666
sub60,d,s,25%,75%,0.9375
sub60,d,s,75%,25%,0.9375
sub60,d,s,75%,75%,0.8932038834951457
sub60,n,r,25%,25%,0.9320388349514563
sub60,n,r,25%,75%,0.9375
sub60,n,r,75%,25%,0.9375
sub60,n,r,75%,75%,0.875
sub60,n,s,25%,25%,0.8125
sub60,n,s,25%,75%,0.875
sub60,n,s,75%,25%,0.8446601941747572
sub60,n,s,75%,75%,0.875
sub7,d,r,25%,25%,0.9375
sub7,d,r,25%,75%,0.9611650485436893
sub7,d,r,75%,25%,0.8333333333333334
sub7,d,r,75%,75%,0.9375
sub7,d,s,25%,25%,0.8333333333333334
sub7,d,s,25%,75%,0.9375
sub7,d,s,75%,25%,0.9375
sub7,d,s,75%,75%,0.9320388349514563
sub7,n,r,25%,25%,0.970873786407767
sub7,n,r,25%,75%,1
sub7,n,r,75%,25%,1
sub7,n,r,75%,75%,0.9166666666666666
sub7,n,s,25%,25%,1
sub7,n,s,25%,75%,0.9583333333333334
sub7,n,s,75%,25%,0.9611650485436893
sub7,n,s,75%,75%,0.8125
sub8,d,r,25%,25%,0.875
sub8,d,r,25%,75%,0.941747572815534
sub8,d,r,75%,25%,1
sub8,d,r,75%,75%,0.875
sub8,d,s,25%,25%,0.7916666666666666
sub8,d,s,25%,75%,0.9375
sub8,d,s,75%,25%,0.9375
sub8,d,s,75%,75%,0.8932038834951457
sub8,n,r,25%,25%,0.9223300970873787
sub8,n,r,25%,75%,1
sub8,n,r,75%,25%,0.875
sub8,n,r,75%,75%,0.9166666666666666
sub8,n,s,25%,25%,0.9375
sub8,n,s,25%,75%,0.9166666666666666
sub8,n,s,75%,25%,0.8155339805825242
sub8,n,s,75%,75%,0.9375
sub9,d,r,25%,25%,0.75
sub9,d,r,25%,75%,0.8640776699029126
sub9,d,r,75%,25%,0.75
sub9,d,r,75%,75%,0.875
sub9,d,s,25%,25%,0.9166666666666666
sub9,d,s,25%,75%,0.875
sub9,d,s,75%,25%,0.75
sub9,d,s,75%,75%,0.8155339805825242
sub9,n,r,25%,25%,0.9320388349514563
sub9,n,r,25%,75%,0.9375
sub9,n,r,75%,25%,0.875
sub9,n,r,75%,75%,0.9583333333333334
sub9,n,s,25%,25%,0.75
sub9,n,s,25%,75%,0.9166666666666666
sub9,n,s,75%,25%,0.8737864077669902
sub9,n,s,75%,75%,0.8125
