subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub19,d,r,25%,75%,0.941747572815534
sub19,d,r,75%,25%,0.9583333333333334
sub19,d,r,75%,75%,0.9375
sub19,d,s,25%,25%,0.875
sub19,d,s,25%,75%,0.9375
sub19,d,s,75%,25%,0.875
sub19,d,s,75%,75%,0.8640776699029126
sub19,n,r,25%,25%,0.8640776699029126
sub19,n,r,25%,75%,1
sub19,n,r,75%,25%,0.8125
sub19,n,r,75%,75%,0.8333333333333334
sub19,n,s,25%,25%,1
sub19,n,s,25%,75%,0.8333333333333334
sub19,n,s,75%,25%,0.8932038834951457
sub19,n,s,75%,75%,0.8125
sub2,d,r,25%,25%,0.9375
sub2,d,r,25%,75%,0.9805825242718447
sub2,d,r,75%,25%,1
sub2,d,r,75%,75%,0.9375
sub2,d,s,25%,25%,0.8333333333333334
sub2,d,s,25%,75%,0.9375
sub2,d,s,75%,25%,0.9375
sub2,d,s,75%,75%,0.9223300970873787
sub2,n,r,25%,25%,0.9029126213592233
sub2,n,r,25%,75%,1
sub2,n,r,75%,25%,0.9375
sub2,n,r,75%,75%,0.9166666666666666
sub2,n,s,25%,25%,0.9375
sub2,n,s,25%,75%,0.7916666666666666
sub2,n,s,75%,25%,0.9611650485436893
sub2,n,s,75%,75%,0.875
sub20,d,r,25%,25%,0.875
sub20,d,r,25%,75%,0.8155339805825242
sub20,d,r,75%,25%,0.9583333333333334
sub20,d,r,75%,75%,0.875
sub20,d,s,25%,25%,0.9583333333333334
sub20,d,s,25%,75%,0.6875
sub20,d,s,75%,25%,0.9375
sub20,d,s,75%,75%,0.8640776699029126
sub20,n,r,25%,25%,0.912621359223301
sub20,n,r,25%,75%,0.8125
sub20,n,r,75%,25%,1
sub20,n,r,75%,75%,0.9166666666666666
sub20,n,s,25%,25%,0.8125
sub20,n,s,25%,75%,0.75
sub20,n,s,75%,25%,0.8349514563106796
sub20,n,s,75%,75%,0.875
sub21,d,r,25%,25%,0.9375
sub21,d,r,25%,75%,0.9902912621359223
sub21,d,r,75%,25%,1
sub21,d,r,75%,75%,1
sub21,d,s,25%,25%,1
sub21,d,s,25%,75%,1
sub21,d,s,75%,25%,1
sub21,d,s,75%,75%,0.9805825242718447
sub21,n,r,25%,25%,1
sub21,n,r,25%,75%,1
sub21,n,r,75%,25%,1
sub21,n,r,75%,75%,0.9583333333333334
sub21,n,s,25%,25%,1
sub21,n,s,25%,75%,0.9166666666666666
sub21,n,s,75%,25%,0.970873786407767
sub21,n,s,75%,75%,1
sub22,d,r,25%,25%,0.9375
sub22,d,r,25%,75%,0.9805825242718447
sub22,d,r,75%,25%,1
sub22,d,r,75%,75%,1
sub22,d,s,25%,25%,1
sub22,d,s,25%,75%,1
sub22,d,s,75%,25%,1
sub22,d,s,75%,75%,0.9611650485436893
sub22,n,r,25%,25%,0.9902912621359223
sub22,n,r,25%,75%,1
sub22,n,r,75%,25%,0.9375
sub22,n,r,75%,75%,1
sub22,n,s,25%,25%,1
sub22,n,s,25%,75%,0.9583333333333334
sub22,n,s,75%,25%,0.970873786407767
sub22,n,s,75%,75%,0.9375
sub23,d,r,25%,25%,0.875
sub23,d,r,25%,75%,0.6990291262135923
sub23,d,r,75%,25%,0.9583333333333334
sub23,d,r,75%,75%,0.9375
sub23,d,s,25%,25%,0.9166666666666666
sub23,d,s,25%,75%,0.6875
sub23,d,s,75%,25%,0.8125
sub23,d,s,75%,75%,0.7475728155339806
sub23,n,r,25%,25%,0.9805825242718447
sub23,n,r,25%,75%,0.5625
sub23,n,r,75%,25%,1
sub23,n,r,75%,75%,0.75
sub23,n,s,25%,25%,0.9375
sub23,n,s,25%,75%,0.7083333333333334
sub23,n,s,75%,25%,0.9320388349514563
sub23,n,s,75%,75%,0.75
sub24,d,r,25%,25%,0.9375
sub24,d,r,25%,75%,0.9514563106796117
sub24,d,r,75%,25%,0.9583333333333334
sub24,d,r,75%,75%,0.9375
sub24,d,s,25%,25%,0.9166666666666666
sub24,d,s,25%,75%,0.9375
sub24,d,s,75%,25%,1
sub24,d,s,75%,75%,0.912621359223301
sub24,n,r,25%,25%,0.9902912621359223
sub24,n,r,25%,75%,0.9375
sub24,n,r,75%,25%,0.9375
sub24,n,r,75%,75%,0.9166666666666666
sub24,n,s,25%,25%,0.9375
sub24,n,s,25%,75%,1
sub24,n,s,75%,25%,0.9320388349514563
sub24,n,s,75%,75%,1
sub25,d,r,25%,25%,1
sub25,d,r,25%,75%,0.9805825242718447
sub25,d,r,75%,25%,1
sub25,d,r,75%,75%,0.875
sub25,d,s,25%,25%,1
sub25,d,s,25%,75%,0.9375
sub25,d,s,75%,25%,1
sub25,d,s,75%,75%,0.9611650485436893
sub25,n,r,25%,25%,0.970873786407767
sub25,n,r,25%,75%,0.9375
sub25,n,r,75%,25%,1
sub25,n,r,75%,75%,0.9583333333333334
sub25,n,s,25%,25%,1
sub25,n,s,25%,75%,0.9166666666666666
sub25,n,s,75%,25%,0.970873786407767
sub25,n,s,75%,75%,1
sub26,d,r,25%,25%,1
sub26,d,r,25%,75%,0.9223300970873787
sub26,d,r,75%,25%,0.9583333333333334
sub26,d,r,75%,75%,0.9375
sub26,d,s,25%,25%,0.9583333333333334
sub26,d,s,25%,75%,1
sub26,d,s,75%,25%,0.875
sub26,d,s,75%,75%,0.9805825242718447
sub26,n,r,25%,25%,0.9611650485436893
sub26,n,r,25%,75%,0.9375
sub26,n,r,75%,25%,0.9375
sub26,n,r,75%,75%,1
sub26,n,s,25%,25%,0.9375
sub26,n,s,25%,75%,0.9166666666666666
sub26,n,s,75%,25%,0.9514563106796117
sub26,n,s,75%,75%,0.9375
sub27,d,r,25%,25%,0.875
sub27,d,r,25%,75%,0.9611650485436893
sub27,d,r,75%,25%,1
sub27,d,r,75%,75%,0.9375
sub27,d,s,25%,25%,0.9166666666666666
sub27,d,s,25%,75%,0.75
sub27,d,s,75%,25%,0.75
sub27,d,s,75%,75%,0.912621359223301
sub27,n,r,25%,25%,0.9611650485436893
sub27,n,r,25%,75%,0.9375
sub27,n,r,75%,25%,1
sub27,n,r,75%,75%,0.9583333333333334
sub27,n,s,25%,25%,0.875
sub27,n,s,25%,75%,0.9583333333333334
